code,name
A01,Біль загальний / множинної локалізації
A01,Біль загальний / множинної локалізації
A01,Біль загальний / множинної локалізації
A01,Біль загальний / множинної локалізації
A02,Озноб
A03,Лихоманка
A03,Лихоманка
A04,Загальна слабкість/втома
A04,Загальна слабкість/втома
A05,Нездужання
A06,Втрата свідомості/непритомність
A07,Кома
A07,Кома
A07,Кома
A08,Припухлість
A09,Проблеми потовиділення
A09,Проблеми потовиділення
A09,Проблеми потовиділення
A10,Кровотеча / геморагія БДУ
A11,Біль у грудях БДУ
A13,"Занепокоєння /страх, пов’язані з лікуванням"
A16,Неспокійна дитина
A18,Занепокоєння з приводу зовнішності
A20,Прохання про евтаназію / обговорення
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A21,Фактор ризику розвитку злоякісних пухлин
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A23,Фактор ризику БДУ
A25,Страх смерті / вмирання
A26,Страх захворіти на рак БДУ
A27,Страх захворіти на іншу хворобу БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A28,ОФ / Н  БДУ
A29,Інші загальні симптоми / скарги
A29,Інші загальні симптоми / скарги
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A70,Туберкульоз
A71,Кір
A71,Кір
A71,Кір
A71,Кір
A71,Кір
A71,Кір
A71,Кір
A72,Вітряна віспа
A72,Вітряна віспа
A72,Вітряна віспа
A72,Вітряна віспа
A72,Вітряна віспа
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A73,Малярія
A74,Краснуха
A74,Краснуха
A74,Краснуха
A75,Інфекційний мононуклеоз
A75,Інфекційний мононуклеоз
A75,Інфекційний мононуклеоз
A75,Інфекційний мононуклеоз
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A76,Інші вірусні екзантеми
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
A77,Вірусні захворювання інші / БДУ
